"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","...16","...17","...18","...19","...20"
"1","Älvkarleby kraftverk, sekun- därstationen i Strängnäs","Strängnäs","Ab. frân Alvkarleby kraftverk","","","","3-fas","50","70000/20000/3000","","","","","",NA,NA,NA,NA,NA
"2","Strangnäs stads el. verk","","Ab. frân Alvkarleby kraftverk","","","","","50","3000/110","","6","355","360","460 31",NA,NA,NA,NA,NA
"3","Ulvhälls och Gorsingeholms egendomar m. fl.","","Strängnäs kraftstation","à","","","L 3-fas","- 50","2 x220 20000/3000/220","","3","65","55","9",NA,NA,NA,NA,NA
"4","Vanso el. distr.-fören. och A.-B. Sanda tegelbruk","Vanso, Fogdo","Ab. frân Alvkarleby kraftverk","","","","","50","20000/3000/220","150","{ 29","169","120","35",NA,NA,NA,NA,NA
"5","Aspö el. distr.-foren. och H. Wrangel","Aspo","","","","","","50","20000/3000/220","60","19","176","135","15",NA,NA,NA,NA,NA
"6","Toresunds norra el. distr.- foren.","","","","","","","","","","17","80","35","23",NA,NA,NA,NA,NA
"7","Toresunds södra el. distr.- fören.","Toresund","","-","","","","50","20000/3000/220","90","{ 23","223","155","22",NA,NA,NA,NA,NA
"8","Stallarholmens el. distr.- fören. Husby tegelbruk","Ytterselö","""","","","","","50","20000/1500/220","300","9","24","67","12",NA,NA,NA,NA,NA
"9","A.-B. Remmar, Sundby Te gelbruks A.-B. m. fl.","",">> ""","","","","","50","20000/-","","","","","",NA,NA,NA,NA,NA
"10","Overselö el. distr.-fören.","Överselö","","","","","","50","20000/1500/220","120","23","101","240","40",NA,NA,NA,NA,NA
"11","Ytterselö el. distr.-fören.och] Näsby tegelbruk","Ytterselö","","","","","","50","20000/3000/220","200","16","150","104","21",NA,NA,NA,NA,NA
"12","Malmby-Ahus el. distr.- fören.","Strängnäs, Aker","","","","","","50","20000/1500/220","60","20","98","175","31",NA,NA,NA,NA,NA
"13","Äkers krutbruk","Aker","Aker","V","24","180","","50","20000/-","300","-","-","390","24",NA,NA,NA,NA,NA
"14","kers styckebruk","","Ab. fran Alvkarleby kraft-","à","","150","","50","20000/3000/880","400","","","350","44",NA,NA,NA,NA,NA
"15","Mariefreds stads el.-verk","Mariefred","verk","","","","","50","20000/1500/220","","5","75","75","101",NA,NA,NA,NA,NA
"16","Kärnbo ostra el. distr.-fören m. fl.","Kärnbo","a","","","","","50","20000/1500/220","175","11","71","36","9",NA,NA,NA,NA,NA
"17","Taxinge-Nasby egendom och Mariefreds stad","Taxinge","","-","","","","50","20000/-","100","5","125","125","5",NA,NA,NA,NA,NA
"18","Enhorna el. distr.-fören.","Over En- horna, Ytter En- hörna",""" "" ""","","","","""","50","20000/3000/220","60","37","208","92","29",NA,NA,NA,NA,NA
"19","K. Karlsson Alvkarleby kraftverk, sekun- därstationen i Eskilstuna","Härad Eskilstuna","Eksãg","V","","1","L 3-fas","50","220 70000/20000/6000","","","","-","",NA,NA,NA,NA,NA
"19","Eskilstuna stads el.-verk med Norra Klosters och Södra Klosters el. distr.","Eskilstuna","Eskilstuna Ab. fran Alvkarleby kraft- verk","a -","","665","L 3-fas","50","220 och 110 6000 och 1500/ 190 och 380","","85","6986","5 680","1955","978","8613","2417","4581 150",NA
"20","fören. Karl Gustavs stads gevärs- faktori","","Eskilstuna","V d","1.6-2.3","115 233","","","","","","","","","","","-","",NA
"21","Eskilstuna Järnmanuf. A.-B.","","Tunafors Samarbete med Eskils- tuna el.-verk Skogstorp","V d -","5.2 -","1 000 500","3-fas","50","6000/","","","","","","","","","",NA
"22","Eskilstuna Stalpressnings A.-B.","","Samarbete med Eskils- tuna el.-verk och Alvkarleby kraftverk","V","5.2","1100","","50","6000/-","","","","","","","","","",NA
"23","Nyby Bruks A.-B.","Torshälla","Kvarnfallet","V","3'5","15","","","","","","","","","","","","",NA
"24","Torshälla stads el.-verk","","Ab. fran Alvkarleby kraft- verk","","","","3-fas","50","20000/3000/220","","13","207","150","85","47","282","181","252 591",NA
"25","Torshälla sockens el. distr. fören.","","","","","","","50","20000/3000/220","200","35","190","230","68","26","324","895","163 531",NA
"26","Malarbadens el. fören.","","1) ""","","","","","50","20000/3000/220","","12","64","24","15","1","40","211","19 862",NA
"27","Tumbo el. distr.- fören.","Tumbo. Raby-Re- karne","","","","","","50","20000/3000/220","150","33","315","220","42","7","269","1 817","99 041",NA
"28","Vallby-Jaders el. distr.- fören.","Vallby, Ham- marby, Sundby, Jäder, Kjula","","","","","","50","20000/3000/220","300","151","1 237","780","164","20","964","7143","413 357",NA
"29","Eskilstuna Stalpressnings A.-B. m. fl.","Eskilstuna","","","","","","50","20000/6000","600","2","365","990","62","-","1 052","","4722",NA
"30","Rekarnebygdens el. distr.- fören.","Husby-Re- karne, Arla","","","","","","50","20000/1500/220","150 90","45","341","395","113","19","527","3 343","227 643",NA
"31","Stenkvista el. distr.-foren.","Stenkvista","""","","","","","50","20000/3000/220","100","25","287","210","47","12","269","1 628","76 993",NA
"32","Eklangens el. distr.-fören.","Arla, Kjula","""","","","","","50","20000/3000/220","90","47","326","200","40","","240","1 230","64 513",NA
"33","Gillberga-Lis el. distr. foren.","Gillberga, Lista","","","","","","50","20000/3000/220","150","87","634","365","91","8","464","3 284","130 087",NA
"34","Öja och Vastermo el. distr.- fören. samt Oja Kvarn A.-B.","Oja, Väster mo","","","","","","50","20000/3000/220","150","27 1","308 5","210 59","65 1","11 1","286 61","1948 -","81 775 81 325",NA
"35","N. Arwedsson, Hedenso","Näshulta","Nashulta kvarn","V","9","50","","50","4000/190","","","","","","","","","",NA
"36","Motala kraftverk. sekundär- stationen i Kantorp","Sköldinge","","","","","","50","70000/20000/3000","","","","","","","","","",NA
"37","Kantorps el. distr.-fören.","","Ab. fran Motala kraftverk","","","","","50","3000/220","150","11","164","","","","","1028","82 500",NA
"38","Stays gruva","Floda","","","","","","50","20000/-","","","","","","","","","",NA
"39","Floda el. distr.-fören.","","","","","","","50","20000/3000/220","120","27","222","","","","","1950","140 100",NA
"40","Gropptorpsortens el. distr.- foren.","V. Vingaker, Floda","","","","","","50","20000/3000/220","100","22","186","","","","","1391","63 500",NA
"41","Julita el. distr.-foren.","Julita","","","","","","50","20000/3000/220","150","51","410","","","","","2406","95 500",NA
"42","El. Tamm","","Fagelstad","V","","","","50","1500/190","","","","","","","","","",NA
"43a","Vingakers Tomt A.-B. b","V. Vingâker","Spanga Bilsbro","","6.5 3'8","230 180","","50","3000/380 och 220","-","","","","","","","","",NA
"","","","Vingäker","S","","50","","50","3000/500 och 380","","","","","","","","","",NA
"44","Vingakers El. A.-B.","","Ab. fran Spanga kraft- station","","","","","","","","","","","","","","","",NA
"45","Hogsjo bruk, Schullstrom & Sjostroms Fabr. A.-B.","","Högsja","V","7:5","420","","50","380","-","","","","","","","","",NA
"46","Valla El. Kraft och Belys- nings A.-B.","Lerbo","Ab. frân Motala kraftverk","","","","3-fas","50","20000/3000/500 och 190","","","","","","","","","",NA
"47","Lerbo sockens el. distr.- foren.","","","","","","","50","20000/3000/220","300","32","231","","","","","1572","64 500",NA
"48","A.-B. Katrineholms el.-verk","Katrineholm","Katrineholms kraftstat. I II Ab. fran Motala kraftverk","S -","","270 300","L 3-fas","- 50 50","2 x 220 3000/220 20000/3000","","","","","","","","","",NA
"49","Varmbols Fabr. A.-B.","ö. Vingaker","Gene kvarn Ab. fran Motala kraftverk","V","3'7","300","""","50","20000/4000/380 och 190","","","","","","","","","",NA
"50","Baggetorpsortens el. distr.- fören.","","","","","","","50","20000/3000/220","70","23","145","","","","","1 132","55 300",NA
"51","Ö. Vingakers el. distr.-fören.","Vingaker","","","","","","50","20000 3000/220","90","30","203","","","","","1 199","84100",NA
"52","C. Lewenhaupt","O. Vingaker","Boda kvarn","V","","30","","50","2000/380","","","","","","","","","",NA
"53","Strangsjo el. kraft- och be- lysningsforening","och St. Malm","Ab. fran Motala kraftverk","","","","","50","20000/3000/220","90","2","18","","","","","10","9 900",NA
"54","R. Gronkvist","St. Malm","St. Djulo","V","","35","","50","3000/-","","","","","","","","","",NA
"55a","Forssjo bruk","","(Forssjo damm Ab. fran Motala kraftverk","""","1'8","100","","50","3000/220","","","","","","","","","",NA
"55b","","","Eriksberg","V","","75","","50","3000/220","","","","","","","","","",NA
"56","Forssjo-Ostra Djulo el. distr.-fören.","","Ab. fran Forssjo bruk","-","-","","","50","3000/220","","","","","","","","","",NA
"57","Forssjo och Stensjo el. distr. fören.","","","","","-","","50","3000/220","","","","","","","","","",NA
"58","Kantorps malmfält","Bettna","Akfors Ab. fran Motala kraftverk","V d","3","270 800","","50","10000/380","","","","","","","","","",NA
"59","Ransta Kraft och Trafik A.-B.","Bjorkvik","Ab. fran Akfors kraft. station","","","","","50","10000/","","","","","","","","","",NA
"60","Bjorkviks el. distr.-fören.","","","","","","","50","10000/3000/220","120","42","422","","","","","2 840","119700",NA
"61","Danbyholms delägare","","Vedeby kvarn","","","40","","50","2000/380","-","","","","","","","","",NA
"62","Vadsbro el. distr.-fören.","Vadsbro, Blacksta","Ab. fran Motala kraftverk","","","","","50","20000/3000/220","100","38","309","","","","","2110","120 400",NA
"63","Bettna-Halla-Vrena el. distr.-fören.","Vrena, Halla, Bettna","","","","","","50","20000/1500/220","120","31","160","","","","","2631","147 000",NA
"64","Backa-Hosjo A.-B.","Vrena","""","","","","","50","20000/3000","","","","","","","","","",NA
"65","Stigtomta Nya el. distr.- fören.","Stigtomta","","","","","","50","20000/1500/220","130","21","126","","","","","1957","98 600",NA
"66","Tuna-Lunda el. distr.- fören.","Tuna, Lunda","","","","","","50","20000/3000/220","130","40","610","","","","","3177","163 500",NA
"67","Nykopingsortens el. distr.- fören.","St. Nikolai","","","","","","50","20000/3000/220","60","10","223","","","","","1194","71 700",NA
"68","Nykopings stads el.-verk","Nykoping","Storhusfallet","V I S","5","212 200","L","50 -","20000/6000 110","","","","","","","","","",NA
"69","A.-B. Perioden","","Perioden","I V 1 à","1.9","400 85","","","","-","","","","","","","","",NA
"70","A.-B. Fors ullspinneri","","Forsfallet","V","1.9","145","","","","-","","","","","","","","",NA
"71","Stjärholmstraktens el. distr.- fören. Gamla Oxelosunds el. distr. fören.","Stjärnholm","Ab. fran Motala kraftverk","","","-","3-fas","50","20000/1500/220","90","16","52","","","","","998","96 700",NA
"72","Trafik A.-B. Grängesberg Oxelösund och Oxelösunds Jarnverks A.-B.","","Oxelösund","à","","135","","50","20000/3000/220","","","","","","","","","",NA
"","","","Navekvarn, 2 stationer","V","15o.20","210","3-fas","50","5000/6000/380","","","","","","","","","",NA
"73a","Navekvarns Bruks A.-B.","Tunaberg","","","33","200","","50","6000/380","","","","","","","","","",NA
"b","","Tuna","Fada","","16","230","","50","3000/220","","","","","","","","","",NA
"74","Alberga gard och","Kila","Alberga","","","","","","","","","","","","","","","",NA
"","Alberga el. distr.-fören.","","","","","","","50","3000/380","-","","","","","","","","",NA
"75","Stavsj A.-B.","","Stavsjo","","14","130","L","-","220","","","","","","","","","",NA
"","","","","","","","3-fas","50","3000/380 och 220","-","","","","","","","","",NA
"76","Hargs fabriker","Helgona","Harg","""","5'8","330","L","","2x 110","","","","","","","","-","",NA
"","","","kraftverk","","","-","3-fas","50","20000/","","","-","","","","","1446","109 700",NA
"77","Forola A.-B.","Svärta","Ab. fran Motala","-","","","","50","20000/3000/220","70","13","297","","","","","","",NA
"78","Bogstaortens el. distr.-foren.","Bogsta","""","","","8","L","","220","","","","","","","","2406","83 400",NA
"79","S. Palme","Svärta","Anga kraftverk","V","","-","3-fas","50","20000/3000/220","90","15","87","","","","","","",NA
"80","Husby-Oppunda el distr.- foren.","Husby- Oppunda","Ab. fran Motala","","","","","","","","","","","","","","1691","83 500",NA
"81","Runtuna-Lids el. distr.- fören.","Runtuna, Lid",""" ""","","","","","50 50","20000/3000/220 20000/3000/220","90 90","35 22","357 364","","","","","1772","75 100",NA
"82","Ludgo och Spelviks el. distr.-fören.","Ludgo, Spelvik","""","","","","","50","20000/3000/220","60","48","255","","","","","1098","72 500",NA
"83","L. Mellösa el. distr.-fören.","L. Mellosa","""","","5","75","","50","20000/220","","","","","","","","-","",NA
"84","Hallefors bruk","","Hallefors","f V I à","-","46","","","","","","","","","","","","",NA
"85","Granheds Kvarn & Kraft A.-B.","Floda","Granhed","V","","40","","50 50","3000/380 20000/3000/220","","","","","","","","","",NA
"86","Flens el.-verk och","Flen","Ab. fran Motala kraftverk (Flens kraftstation","O","","40","L","-","2 x 220","120","","","","","","","1408","79 300",NA
"","Stenhammars egendom","Dunker","Ab. fran Motala kraftverk","","-","-","3-fas","50","20000/3000/220","60","19","129","","","","","","72500",NA
"87 88","Dunkers el.cdistr.fören. L. Malma el. distr.-fören.","L. Malma","","","-","-","""","50","20000/3000/220","120","5","255","","","","","1098 650","45 700",NA
"","Malmkopings el.-verk","Malmkoping","","","","","","50","20000/3000/220","60","12","128","","","","","","",NA
"89","Skebokvarns el. distr.-fören. samt A.-B. Skebo kvarn och trä- föradlingsfabrik","Helgesta","","","","","","50","20000/3000/220","150","","","","","","","","",NA
"90","Sparreholms municipalsam- halle, Sparreholms snickerifabrik","Hyltinge","","","","","","","","","","","","","","","","24 900",NA
"91","E. Dickson","","Sparreholm Ab. fran Motala kraftverk","","","35","","50","20000/3000/220 och 500/110","150","28","265","190","25","4","219","250 1 446","43 394",NA
"92","Frustuna el. distr.-foren.","Frustuna","Ab. fran Älvkarleby kraft-","","","","","50","20000/3000/220","200","{ 11","161","150","96","44","290","-","226 894",NA
"","Gnesta El. A.-B. och Gnesta el. valskvarn","","verk","","","","","50","20000/3000/220","90","61","406","235","34","2","271","2155","90153",NA
"93","Gasinge-Dillnäs el. distr.- fören.","GAsinge, Dillnäs","Al","","","","","50","20000/3000/220","100","36","225","205","19","- 9","224 224","457 1597","89 628 919",NA
"94 95","Björnlunda el. distr.-fören. Gryts el. distr.-foren.","Bjornlunda Gryt",".","","","","","50","20000/3000/220","100 100","46 47","283 269","170 160","45 28","6","194","1988","80405",NA
"96","Holo el. distr.-foren.","Holo","10","","","","","50","20000/3000/220","150","28","190","105","42","5","152","1125","42 019 47 765",NA
"97","Mörko el. distr.-foren., A.-B. Karta & Oaxens kalk- bruk","Mörkö","","","","","","50 50","20000/3000/220 20000/3000/220","100","61","1 50 498","110 330","13 42","- 4","123 376","2","194 112 980",NA
"98","Vagnharads el. distr.-fören.","Vagnhärad, Trosa landsfors., Holo,","","","","","","","","","","2","50","48","62","4 114","-","49 328",NA
"","","Vasterljung","","","","","","50","20000/3000/220","100","","33 232","140","","35","2 177","1427","60 020",NA
"99","Trosa stads el.-verk och","Trosa,","","","","","","","","","","","","","","","","-",NA
"100","Trosa el. distr.-fören. Akers styckebruk, Skatt- vangsgruvan","Vasterljung Gasinge","","","","","","50","20000/-","","","-","","","","","","",NA
